order_id,account_id,film_id,amount
1,32,1,4
2,5,1,1
3,2,2,2
4,4,3,1
5,24,4,1
6,32,6,3
7,22,13,2
8,25,7,1
9,16,8,5
10,49,10,3
11,45,9,2
12,50,5,1
13,12,5,4
14,14,2,2
15,18,1,1
16,27,6,3
17,29,8,3
18,13,8,3
19,34,7,1
20,37,23,2
21,1,12,3
22,1,14,5
23,24,34,2
24,43,23,7
25,21,11,3
26,27,49,1
27,35,47,2
28,12,3,2
29,2,1,4
30,4,5,8
31,11,12,3
32,7,16,1
33,9,17,4
34,6,29,3
35,15,28,5
36,48,45,6
37,44,50,5
38,36,24,4
39,21,21,1
40,46,22,2
41,34,35,1
42,23,38,1
43,27,39,3
44,17,37,4
45,19,45,4
46,18,42,3
47,30,33,5
48,40,41,2
49,20,32,1
50,10,44,3
